City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
520,Takoradi,GH,75.94,overcast clouds,4.88,-1.76,Raybow International Hotel
521,Nizwa,OM,75.09,clear sky,22.93,57.53,Orient Apartments
524,Santa Cruz Del Norte,CU,82.4,moderate rain,23.15,-81.92,Rioger Art
530,Palu,ID,78.28,overcast clouds,-0.89,119.87,Hotel Santika Palu
536,Tutoia,BR,79.34,clear sky,-2.76,-42.27,Pousada Guará's
537,Cayenne,GF,80.6,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
538,The Valley,AI,84.2,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
541,Abu Zabad,SD,79.41,scattered clouds,12.35,29.25,محي الدين نوري
550,Witu,KE,75.2,clear sky,-2.39,40.44,New City Guest House
555,Pedernales,DO,83.25,overcast clouds,18.04,-71.74,Hotel Costa Marina
557,Boyolangu,ID,76.84,moderate rain,-8.12,111.89,Yos ega cv
559,Palora,EC,80.6,scattered clouds,-1.7,-77.93,Rancho grande
562,Dubti,ET,87.35,clear sky,11.74,41.09,
563,Voh,NC,82.72,broken clouds,-20.97,164.7,Le gîte du Koniambo
565,Auki,SB,85.51,scattered clouds,-8.77,160.7,Auki Motel
569,Aswan,EG,83.37,clear sky,24.09,32.91,Nuba Nile
571,Olinda,BR,80.6,few clouds,-8.01,-34.86,Hotel 5 Sóis
574,Sri Aman,MY,75.2,heavy intensity rain,1.24,111.46,Seri Simanggang Hotel
576,Howard Springs,AU,84.99,few clouds,-12.5,131.05,buffalo beach hostel
579,Bowen,AU,78.8,overcast clouds,-20.02,148.23,Castle Motor Lodge Motel
586,Itarema,BR,78.71,clear sky,-2.92,-39.92,Windvillage
588,Bida,NG,77.54,broken clouds,9.08,6.02,Royal Suite
591,Barra Dos Coqueiros,BR,80.6,few clouds,-10.91,-37.04,Quality Hotel Aracaju
594,Nanakuli,US,87.01,scattered clouds,21.39,-158.15,Camp Pālehua
597,Karonga,MW,76.69,overcast clouds,-9.93,33.93,Sumuka Inn
598,Jaciara,BR,78.26,light rain,-15.97,-54.97,Taba Hotel
600,Lodwar,KE,85.98,clear sky,3.12,35.6,Turkwel Lodge
604,Springdale,US,82.4,clear sky,36.19,-94.13,Springdale Inn
