City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
83,Lavrentiya,RU,65.58,-171.0,33.31,86,38,15.61,scattered clouds
84,Taltal,CL,-25.4,-70.48,58.89,74,22,3.89,few clouds
85,Asau,RO,46.43,26.4,59.0,97,97,3.24,overcast clouds
86,Puerto Ayora,EC,-0.74,-90.35,80.6,57,20,20.8,few clouds
87,Lapua,FI,62.97,23.01,43.0,99,87,1.01,overcast clouds
88,Mount Gambier,AU,-37.83,140.77,55.4,82,90,9.17,overcast clouds
89,Chuy,UY,-33.7,-53.46,54.61,89,56,7.67,broken clouds
90,Mount Isa,AU,-20.73,139.5,82.4,26,11,8.05,few clouds
91,Palizada,MX,18.25,-92.08,86.0,79,5,11.41,clear sky
92,Port Augusta,AU,-32.5,137.77,73.0,93,90,6.93,overcast clouds
93,Bluff,NZ,-46.6,168.33,54.0,69,50,7.0,scattered clouds
94,Mujiayingzi,CN,42.12,118.78,38.53,64,23,6.91,few clouds
95,Hirara,JP,24.8,125.28,78.8,83,75,13.87,broken clouds
96,Kurilsk,RU,45.23,147.88,58.17,91,100,28.27,light rain
97,Nanortalik,GL,60.14,-45.24,37.9,89,100,11.48,moderate rain
98,Hambantota,LK,6.12,81.12,78.8,94,20,12.75,few clouds
99,Bambanglipuro,ID,-7.95,110.28,77.05,81,54,5.95,light rain
100,Cherskiy,RU,68.75,161.3,21.63,88,16,9.26,few clouds
101,Tupik,RU,54.43,119.93,23.38,86,100,6.22,overcast clouds
102,Biak,ID,-0.91,122.88,78.89,75,70,6.31,broken clouds
103,Faanui,PF,-16.48,-151.75,78.82,80,3,13.2,clear sky
104,Provideniya,RU,64.38,-173.3,33.8,69,86,11.18,overcast clouds
105,Airai,TL,-8.93,125.41,67.03,65,71,4.54,broken clouds
106,Carnarvon,AU,-24.87,113.63,64.4,100,0,10.29,clear sky
107,Flin Flon,CA,54.77,-101.86,39.2,80,90,18.34,light intensity shower rain
108,Lorengau,PG,-2.02,147.27,83.57,77,100,7.76,light rain
109,Ahipara,NZ,-35.17,173.17,61.27,93,98,3.44,overcast clouds
110,Kirakira,SB,-10.45,161.92,84.65,75,87,11.5,light rain
111,Quatre Cocos,MU,-20.21,57.76,71.6,94,40,6.93,shower rain
112,Aksarka,RU,66.56,67.8,33.64,92,77,8.12,broken clouds
113,Hobart,AU,-42.88,147.33,54.0,50,20,11.41,few clouds
114,Katangli,RU,51.71,143.23,44.92,71,97,12.19,overcast clouds
115,Mariinsk,RU,56.21,87.75,39.78,96,100,4.65,overcast clouds
116,Banda Aceh,ID,5.56,95.32,81.43,69,100,9.82,overcast clouds
117,Ostrovnoy,RU,68.05,39.51,44.47,92,100,13.15,light rain
118,Cortez,US,37.35,-108.59,69.8,13,1,9.17,clear sky
119,Port Alfred,ZA,-33.59,26.89,63.21,52,46,5.82,scattered clouds
120,Tasiilaq,GL,65.61,-37.64,39.2,86,100,19.46,light intensity shower rain
121,Buguda,IN,19.82,84.8,76.26,95,100,4.38,overcast clouds
122,Salalah,OM,17.02,54.09,77.0,73,40,3.36,scattered clouds
123,Saskylakh,RU,71.92,114.08,18.63,96,100,7.58,overcast clouds
124,Soe,ID,-9.86,124.28,73.53,65,100,6.49,overcast clouds
125,Kiunga,PG,-6.12,141.29,79.23,88,100,3.31,light rain
126,Verkhnevilyuysk,RU,63.45,120.32,16.23,93,0,4.97,clear sky
127,Tabou,CI,4.42,-7.35,77.0,86,63,6.08,broken clouds
128,Ambon,ID,-3.7,128.18,77.0,94,75,2.24,broken clouds
129,Citrus Park,US,28.08,-82.57,82.99,72,19,9.6,few clouds
130,Guerrero Negro,MX,27.98,-114.06,85.89,37,0,11.54,clear sky
131,Tulum,MX,20.22,-87.47,87.8,74,20,9.17,few clouds
132,Ciudad Real,ES,39.0,-4.0,55.0,35,0,1.01,clear sky
133,Fayaoue,NC,-20.65,166.53,76.24,84,99,16.82,light rain
134,Ureki,GE,42.0,41.78,71.6,68,0,13.87,clear sky
135,Yar-Sale,RU,66.83,70.83,32.68,91,91,3.09,overcast clouds
136,Longyearbyen,SJ,78.22,15.64,21.2,73,40,5.82,scattered clouds
137,Yamada,JP,39.47,141.95,65.43,87,97,2.21,overcast clouds
138,Tuatapere,NZ,-46.13,167.68,54.0,69,59,7.0,broken clouds
139,Jieshi,CN,22.81,115.83,79.0,77,98,3.0,overcast clouds
140,Dingle,PH,11.0,122.67,77.81,88,100,3.69,overcast clouds
141,Marsaxlokk,MT,35.84,14.54,64.99,72,20,20.8,few clouds
142,Kango,GA,0.19,10.1,73.18,97,100,2.1,overcast clouds
143,Kavieng,PG,-2.57,150.8,83.52,73,7,6.98,light rain
144,Meulaboh,ID,4.14,96.13,76.19,83,100,5.3,overcast clouds
145,Aleksandrov Gay,RU,50.15,48.57,49.59,45,39,8.99,scattered clouds
